Date,Adj_Close,Ticker,Market
2015-12-28,173.92335510253906,SPY,US
2015-12-29,175.77944946289062,SPY,US
2015-12-30,174.53358459472656,SPY,US
2015-12-31,172.78765869140625,SPY,US
2016-01-04,170.37216186523438,SPY,US
2016-01-05,170.66033935546875,SPY,US
2016-01-06,168.50759887695312,SPY,US
2016-01-07,164.46487426757812,SPY,US
2016-01-08,162.6595458984375,SPY,US
2016-01-11,162.82061767578125,SPY,US
2016-01-12,164.13427734375,SPY,US
2016-01-13,160.04067993164062,SPY,US
2016-01-14,162.6680450439453,SPY,US
2016-01-15,159.1761932373047,SPY,US
2016-01-19,159.38809204101562,SPY,US
2016-01-20,157.34548950195312,SPY,US
2016-01-21,158.22694396972656,SPY,US
2016-01-22,161.47303771972656,SPY,US
2016-01-25,159.0321807861328,SPY,US
2016-01-26,161.20179748535156,SPY,US
2016-01-27,159.44737243652344,SPY,US
2016-01-28,160.27798461914062,SPY,US
2016-01-29,164.1851348876953,SPY,US
2016-02-01,164.12583923339844,SPY,US
2016-02-02,161.16787719726562,SPY,US
2016-02-03,162.1340789794922,SPY,US
2016-02-04,162.3883819580078,SPY,US
2016-02-05,159.2948455810547,SPY,US
2016-02-08,157.15052795410156,SPY,US
2016-02-09,157.15902709960938,SPY,US
2016-02-10,157.0234832763672,SPY,US
2016-02-11,154.9808807373047,SPY,US
2016-02-12,158.1760711669922,SPY,US
2016-02-16,160.8458251953125,SPY,US
2016-02-17,163.4731903076172,SPY,US
2016-02-18,162.80361938476562,SPY,US
2016-02-19,162.7274169921875,SPY,US
2016-02-22,165.08352661132812,SPY,US
2016-02-23,162.9985809326172,SPY,US
2016-02-24,163.7444305419922,SPY,US
2016-02-25,165.7276611328125,SPY,US
2016-02-26,165.3463134765625,SPY,US
2016-02-29,164.0494842529297,SPY,US
2016-03-01,167.90582275390625,SPY,US
2016-03-02,168.66017150878906,SPY,US
2016-03-03,169.32125854492188,SPY,US
2016-03-04,169.87213134765625,SPY,US
2016-03-07,170.0076904296875,SPY,US
2016-03-08,168.151611328125,SPY,US
2016-03-09,168.9822540283203,SPY,US
2016-03-10,169.11781311035156,SPY,US
2016-03-11,171.8468780517578,SPY,US
2016-03-14,171.62655639648438,SPY,US
2016-03-15,171.3468475341797,SPY,US
2016-03-16,172.3384246826172,SPY,US
2016-03-17,173.4317169189453,SPY,US
2016-03-18,174.11331176757812,SPY,US
2016-03-21,174.36036682128906,SPY,US
2016-03-22,174.26666259765625,SPY,US
2016-03-23,173.1165771484375,SPY,US
2016-03-24,173.03988647460938,SPY,US
2016-03-28,173.14212036132812,SPY,US
2016-03-29,174.74371337890625,SPY,US
2016-03-30,175.51043701171875,SPY,US
2016-03-31,175.08450317382812,SPY,US
2016-04-01,176.2772216796875,SPY,US
2016-04-04,175.70639038085938,SPY,US
2016-04-05,173.95147705078125,SPY,US
2016-04-06,175.85121154785156,SPY,US
2016-04-07,173.74697875976562,SPY,US
2016-04-08,174.21556091308594,SPY,US
2016-04-11,173.80662536621094,SPY,US
2016-04-12,175.4252471923828,SPY,US
2016-04-13,177.19720458984375,SPY,US
2016-04-14,177.20574951171875,SPY,US
2016-04-15,177.00978088378906,SPY,US
2016-04-18,178.25360107421875,SPY,US
2016-04-19,178.8158416748047,SPY,US
2016-04-20,178.9862823486328,SPY,US
2016-04-21,178.02354431152344,SPY,US
2016-04-22,178.02354431152344,SPY,US
2016-04-25,177.71693420410156,SPY,US
2016-04-26,177.9810028076172,SPY,US
2016-04-27,178.34727478027344,SPY,US
2016-04-28,176.72872924804688,SPY,US
2016-04-29,175.77455139160156,SPY,US
2016-05-02,177.17166137695312,SPY,US
2016-05-03,175.62973022460938,SPY,US
2016-05-04,174.6499786376953,SPY,US
2016-05-05,174.6158905029297,SPY,US
2016-05-06,175.25486755371094,SPY,US
2016-05-09,175.39967346191406,SPY,US
2016-05-10,177.58059692382812,SPY,US
2016-05-11,175.91937255859375,SPY,US
2016-05-12,175.97047424316406,SPY,US
2016-05-13,174.43699645996094,SPY,US
2016-05-16,176.1578369140625,SPY,US
2016-05-17,174.51373291015625,SPY,US
2016-05-18,174.56483459472656,SPY,US
2016-05-19,173.95999145507812,SPY,US
2016-05-20,175.0589599609375,SPY,US
2016-05-23,174.82037353515625,SPY,US
2016-05-24,177.08644104003906,SPY,US
2016-05-25,178.28762817382812,SPY,US
2016-05-26,178.3387908935547,SPY,US
2016-05-27,179.10549926757812,SPY,US
2016-05-31,178.7647247314453,SPY,US
2016-06-01,179.13104248046875,SPY,US
2016-06-02,179.67628479003906,SPY,US
2016-06-03,179.13963317871094,SPY,US
2016-06-06,180.05108642578125,SPY,US
2016-06-07,180.332275390625,SPY,US
2016-06-08,180.9200439453125,SPY,US
2016-06-09,180.67300415039062,SPY,US
2016-06-10,178.96067810058594,SPY,US
2016-06-13,177.58059692382812,SPY,US
2016-06-14,177.23129272460938,SPY,US
2016-06-15,176.98422241210938,SPY,US
2016-06-16,177.512451171875,SPY,US
2016-06-17,176.85133361816406,SPY,US
2016-06-20,177.99024963378906,SPY,US
2016-06-21,178.4955291748047,SPY,US
2016-06-22,178.20437622070312,SPY,US
2016-06-23,180.52500915527344,SPY,US
2016-06-24,174.0425262451172,SPY,US
2016-06-27,170.9254913330078,SPY,US
2016-06-28,174.00831604003906,SPY,US
2016-06-29,176.9712371826172,SPY,US
2016-06-30,179.38607788085938,SPY,US
2016-07-01,179.76290893554688,SPY,US
2016-07-05,178.46981811523438,SPY,US
2016-07-06,179.54022216796875,SPY,US
2016-07-07,179.42893981933594,SPY,US
2016-07-08,182.10067749023438,SPY,US
2016-07-11,182.7429656982422,SPY,US
2016-07-12,184.07029724121094,SPY,US
2016-07-13,184.04461669921875,SPY,US
2016-07-14,185.07223510742188,SPY,US
2016-07-15,184.8238525390625,SPY,US
2016-07-18,185.3205108642578,SPY,US
2016-07-19,185.13217163085938,SPY,US
2016-07-20,185.90281677246094,SPY,US
2016-07-21,185.20065307617188,SPY,US
2016-07-22,186.0313262939453,SPY,US
2016-07-25,185.5260467529297,SPY,US
2016-07-26,185.61167907714844,SPY,US
2016-07-27,185.41470336914062,SPY,US
2016-07-28,185.62881469726562,SPY,US
2016-07-29,185.92852783203125,SPY,US
2016-08-01,185.7744598388672,SPY,US
2016-08-02,184.5841064453125,SPY,US
2016-08-03,185.12355041503906,SPY,US
2016-08-04,185.3205108642578,SPY,US
2016-08-05,186.8362274169922,SPY,US
2016-08-08,186.72494506835938,SPY,US
2016-08-09,186.8362274169922,SPY,US
2016-08-10,186.37384033203125,SPY,US
2016-08-11,187.23873901367188,SPY,US
2016-08-12,187.0760498046875,SPY,US
2016-08-15,187.61553955078125,SPY,US
2016-08-16,186.64788818359375,SPY,US
2016-08-17,186.9989776611328,SPY,US
2016-08-18,187.41854858398438,SPY,US
2016-08-19,187.1445770263672,SPY,US
